NormalisedSpecificDisease,PhenotypicSeriesNumber,PhenotypicSeriesName,Phenotype,PhenotypeMIM,GeneSymbol,GeneMIM,Check_RTL,Comments_RTL,Check_DC,Comments_DC
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,Parkinson disease 21,616361,NA,616361,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,{Parkinson disease 18},614251,EIF4G1,600495,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,"{?Parkinson disease 5, susceptibility to}",613643,UCHL1,191342,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,Parkinson disease 1,168601,SNCA,163890,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,Parkinson disease 4,605543,SNCA,163890,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,"{Parkinson disease, susceptibility to}",168600,ADH1C,103730,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,"Parkinson disease, juvenile, type 2",600116,PRKN,602544,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,"{Parkinson disease, susceptibility to}",168600,TBP,600075,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,"Parkinson disease 22, autosomal dominant",616710,CHCHD2,616244,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,{Parkinson disease 8},607060,LRRK2,609007,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,"{Parkinson disease, late-onset, susceptibility to}",168600,ATXN2,601517,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,"{Parkinson disease, susceptibility to}",168600,ATXN8OS,603680,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,"Parkinson disease 23, autosomal recessive, early onset",616840,VPS13C,608879,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,{Parkinson disease 17},614203,VPS35,601501,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,"{Parkinson disease, susceptibility to}",168600,MAPT,157140,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,"Parkinson disease 20, early-onset",615530,SYNJ1,604297,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,"Parkinson disease 15, autosomal recessive",260300,FBXO7,605648,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,"Parkinson disease 14, autosomal recessive",612953,PLA2G6,603604,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,{Parkinson disease 12},300557,NA,300557,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS168600,Parkinson disease,"{Parkinson disease, age of onset, modifier}",168600,GLUD2,300144,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS613135,"Parkinsonism-dystonia, infantile","Parkinsonism-dystonia, infantile, 1",613135,SLC6A3,126455,1,NA,NA,NA
Early onset and familial Parkinson's Disease,PS613135,"Parkinsonism-dystonia, infantile","?Parkinsonism-dystonia, infantile, 2",618049,SLC18A2,193001,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,"Dystonia 13, torsion",607671,NA,607671,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,"Dystonia, childhood-onset, with optic atrophy and basal ganglia abnormalities",617282,MECR,608205,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,"Dystonia 2, torsion, autosomal recessive",224500,HPCA,142622,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,"GLUT1 deficiency syndrome 2, childhood onset",612126,SLC2A1,138140,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,Dystonia 9,601042,SLC2A1,138140,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,Dystonia 21,614588,NA,614588,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,Paroxysmal nonkinesigenic dyskinesia 2,611147,NA,611147,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,Dystonia 16,612067,PRKRA,603424,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,Paroxysmal nonkinesigenic dyskinesia 1,118800,PNKD,609023,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,Dystonia 27,616411,COL6A3,120250,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,"Dystonia-11, myoclonic",159900,SGCE,604149,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,"Dystonia 6, torsion",602629,THAP1,609520,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,Dystonia 23,614860,NA,614860,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,"Dystonia-1, torsion",128100,TOR1A,605204,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,Dystonia 24,615034,ANO3,610110,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,"Dystonia, DOPA-responsive, with or without hyperphenylalaninemia",128230,GCH1,600225,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,Episodic kinesigenic dyskinesia 1,128200,PRRT2,614386,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,Episodic kinesigenic dyskinesia 2,611031,NA,611031,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,"Dystonia-15, myoclonic",607488,NA,607488,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,"Dystonia-7, torsion",602124,NA,602124,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,Dystonia 25,615073,GNAL,139312,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,"Dystonia 4, torsion, autosomal dominant",128101,TUBB4A,602662,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,"Dystonia 28, childhood-onset",617284,KMT2B,606834,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,Dystonia-12,128235,ATP1A3,182350,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,"Dystonia-17, primary torsion",612406,NA,612406,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,"Dystonia 26, myoclonic",616398,KCTD17,616386,1,NA,NA,NA
Early onset dystonia,PS128100,Dystonia,"Dystonia-Parkinsonism, X-linked",314250,TAF1,313650,1,NA,NA,NA
Early onset familial premature ovarian insuficiency,PS311360,Premature ovarian failure,Premature ovarian failure 9,615724,HFM1,615684,1,NA,NA,NA
Early onset familial premature ovarian insuficiency,PS311360,Premature ovarian failure,Premature ovarian failure 6,612310,FIGLA,608697,1,NA,NA,NA
Early onset familial premature ovarian insuficiency,PS311360,Premature ovarian failure,Premature ovarian failure 3,608996,FOXL2,605597,1,NA,NA,NA
Early onset familial premature ovarian insuficiency,PS311360,Premature ovarian failure,?Premature ovarian failure 14,618014,GDF9,601918,1,NA,NA,NA
Early onset familial premature ovarian insuficiency,PS311360,Premature ovarian failure,?Premature ovarian failure 13,617442,MSH5,603382,1,NA,NA,NA
Early onset familial premature ovarian insuficiency,PS311360,Premature ovarian failure,Premature ovarian failure 8,615723,STAG3,608489,1,NA,NA,NA
Early onset familial premature ovarian insuficiency,PS311360,Premature ovarian failure,Premature ovarian failure 5,611548,NOBOX,610934,1,NA,NA,NA
Early onset familial premature ovarian insuficiency,PS311360,Premature ovarian failure,Adrenocortical insufficiency,612964,NR5A1,184757,1,NA,NA,NA
Early onset familial premature ovarian insuficiency,PS311360,Premature ovarian failure,Premature ovarian failure 7,612964,NR5A1,184757,1,NA,NA,NA
Early onset familial premature ovarian insuficiency,PS311360,Premature ovarian failure,Premature ovarian failure 11,616946,ERCC6,609413,1,NA,NA,NA
Early onset familial premature ovarian insuficiency,PS311360,Premature ovarian failure,?Premature ovarian failure 12,616947,SYCE1,611486,1,NA,NA,NA
Early onset familial premature ovarian insuficiency,PS311360,Premature ovarian failure,?Premature ovarian failure 15,618096,FANCM,609644,1,NA,NA,NA
Early onset familial premature ovarian insuficiency,PS311360,Premature ovarian failure,?Premature ovarian failure 16,618723,BNC1,601930,1,NA,NA,NA
Early onset familial premature ovarian insuficiency,PS311360,Premature ovarian failure,?Premature ovarian failure 10,612885,MCM8,608187,1,NA,NA,NA
Early onset familial premature ovarian insuficiency,PS311360,Premature ovarian failure,Premature ovarian failure 4,300510,BMP15,300247,1,NA,NA,NA
Early onset familial premature ovarian insuficiency,PS311360,Premature ovarian failure,Ovarian dysgenesis 2,300510,BMP15,300247,1,NA,NA,NA
Early onset familial premature ovarian insuficiency,PS311360,Premature ovarian failure,?Premature ovarian failure 2B,300604,POF1B,300603,1,NA,NA,NA
Early onset familial premature ovarian insuficiency,PS311360,Premature ovarian failure,?Premature ovarian failure 2A,300511,DIAPH2,300108,1,NA,NA,NA
Early onset familial premature ovarian insuficiency,PS311360,Premature ovarian failure,Premature ovarian failure 1,311360,FMR1,309550,1,NA,NA,NA
Ectodermal dysplasia without a known gene mutation,PS305100,Ectodermal dysplasia (select examples),"?Ectodermal dysplasia 12, hypohidrotic/hair/tooth/nail type",617337,KDF1,616758,1,NA,NA,NA
Ectodermal dysplasia without a known gene mutation,PS305100,Ectodermal dysplasia (select examples),"Ectodermal dysplasia 11B, hypohidrotic/hair/tooth type, autosomal recessive",614941,EDARADD,606603,1,NA,NA,NA
Ectodermal dysplasia without a known gene mutation,PS305100,Ectodermal dysplasia (select examples),"Ectodermal dysplasia 11A, hypohidrotic/hair/tooth type, autosomal dominant",614940,EDARADD,606603,1,NA,NA,NA
Ectodermal dysplasia without a known gene mutation,PS305100,Ectodermal dysplasia (select examples),"Ectodermal dysplasia 10A, hypohidrotic/hair/nail type, autosomal dominant",129490,EDAR,604095,1,NA,NA,NA
Ectodermal dysplasia without a known gene mutation,PS305100,Ectodermal dysplasia (select examples),"Ectodermal dysplasia 10B, hypohidrotic/hair/tooth type, autosomal recessive",224900,EDAR,604095,1,NA,NA,NA
Ectodermal dysplasia without a known gene mutation,PS305100,Ectodermal dysplasia (select examples),"Ectodermal dysplasia 3, Witkop type",189500,MSX1,142983,1,NA,NA,NA
Ectodermal dysplasia without a known gene mutation,PS305100,Ectodermal dysplasia (select examples),"Ectodermal dysplasia 5, hair/nail type",614927,NA,614927,1,NA,NA,NA
Ectodermal dysplasia without a known gene mutation,PS305100,Ectodermal dysplasia (select examples),"?Ectodermal dysplasia 15, hypohidrotic/hair type",618535,CST6,601891,1,NA,NA,NA
Ectodermal dysplasia without a known gene mutation,PS305100,Ectodermal dysplasia (select examples),"Ectodermal dysplasia 4, hair/nail type",602032,KRT85,602767,1,NA,NA,NA
Ectodermal dysplasia without a known gene mutation,PS305100,Ectodermal dysplasia (select examples),"?Ectodermal dysplasia 7, hair/nail type",614929,KRT74,608248,1,NA,NA,NA
Ectodermal dysplasia without a known gene mutation,PS305100,Ectodermal dysplasia (select examples),"Ectodermal dysplasia 9, hair/nail type",614931,HOXC13,142976,1,NA,NA,NA
Ectodermal dysplasia without a known gene mutation,PS305100,Ectodermal dysplasia (select examples),"Ectodermal dysplasia 2, Clouston type",129500,GJB6,604418,1,NA,NA,NA
Ectodermal dysplasia without a known gene mutation,PS305100,Ectodermal dysplasia (select examples),"Ectodermal dysplasia 6, hair/nail type",614928,NA,614928,1,NA,NA,NA
Ectodermal dysplasia without a known gene mutation,PS305100,Ectodermal dysplasia (select examples),"Ectodermal dysplasia 8, hair/tooth/nail type",602401,NA,602401,1,NA,NA,NA
Ectodermal dysplasia without a known gene mutation,PS305100,Ectodermal dysplasia (select examples),"Ectodermal dysplasia 14, hair/tooth type with or without hypohidrosis",618180,TSPEAR,612920,1,NA,NA,NA
Ectodermal dysplasia without a known gene mutation,PS305100,Ectodermal dysplasia (select examples),"Ectodermal dysplasia 13, hair/tooth type",617392,KREMEN1,609898,1,NA,NA,NA
Ectodermal dysplasia without a known gene mutation,PS305100,Ectodermal dysplasia (select examples),"Ectodermal dysplasia 1, hypohidrotic, X-linked",305100,EDA,300451,1,NA,NA,NA
Ectodermal dysplasia without a known gene mutation,PS300291,Ectodermal dysplasia and immune deficiency,Ectodermal dysplasia and immunodeficiency 2,612132,NFKBIA,164008,1,NA,NA,NA
Ectodermal dysplasia without a known gene mutation,PS300291,Ectodermal dysplasia and immune deficiency,Ectodermal dysplasia and immunodeficiency 1,300291,IKBKG,300248,1,NA,NA,NA
Ectodermal dysplasia without a known gene mutation,PS613573,Ectodermal dysplasia-syndactyly syndrome,Ectodermal dysplasia-syndactyly syndrome 1,613573,NECTIN4,609607,1,NA,NA,NA
Ectodermal dysplasia without a known gene mutation,PS613573,Ectodermal dysplasia-syndactyly syndrome,Ectodermal dysplasia-syndactyly syndrome 2,613576,NA,613576,1,NA,NA,NA
Congenital anaemias,PS300751,"Anemia, Sideroblastic",NA,NA,NA,NA,1,NA,NA,NA
Congenital anaemias,PS224120,"Anemia, congenital dyserythropoietic","Dyserythropoietic anemia, congenital, type Ib",615631,CDIN1,615626,1,NA,NA,NA
Congenital anaemias,PS224120,"Anemia, congenital dyserythropoietic","Dyserythropoietic anemia, congenital, type Ia",224120,CDAN1,607465,1,NA,NA,NA
Congenital anaemias,PS224120,"Anemia, congenital dyserythropoietic","Dyserythropoietic anemia, congenital, type III",105600,NA,105600,1,NA,NA,NA
Congenital anaemias,PS224120,"Anemia, congenital dyserythropoietic","Dyserythropoietic anemia, congenital, type IV",613673,KLF1,600599,1,NA,NA,NA
Congenital anaemias,PS224120,"Anemia, congenital dyserythropoietic","Dyserythropoietic anemia, congenital, type II",224100,SEC23B,610512,1,NA,NA,NA
Congenital anaemias,PS227650,Fanconi Anemia,NA,NA,NA,NA,1,NA,NA,NA
Arrhythmogenic Right Ventricular Cardiomyopathy,NA,NA,"Arrhythmogenic right ventricular dysplasia 1, 107970 (3)",107970,TGFB3,190230,1,NA,NA,NA
Bilateral microtia,NA,NA,"?Microtia, hearing impairment, and cleft palate (AR), 612290 (3)",612290,HOXA2,604685,1,MIM 612290,NA,NA
Bilateral microtia,NA,NA,"Microtia with or without hearing impairment (AD), 612290 (3)",612290,HOXA2,604685,1,MIM 612290,NA,NA
Choanal atresia,NA,NA,"?CHARGE syndrome, 214800 (3)",214800,SEMA3E,608166,1,NA,NA,NA
Choanal atresia,NA,NA,"CHARGE syndrome, 214800 (3)",214800,CHD7,608892,1,NA,NA,NA
Classical Beckwith-Wiedemann syndrome,NA,NA,"Beckwith-Wiedemann syndrome, 130650 (3)",130650,CDKN1C,600856,1,NA,NA,NA
Classical Beckwith-Wiedemann syndrome,NA,NA,"Beckwith-Wiedemann syndrome, 130650 (3)",130650,H19,103280,1,NA,NA,NA
Classical Beckwith-Wiedemann syndrome,NA,NA,"Beckwith-Wiedemann syndrome, 130650 (3)",130650,,616186,1,NA,NA,NA
Classical Beckwith-Wiedemann syndrome,NA,NA,"Beckwith-Wiedemann syndrome, 130650 (3)",130650,KCNQ1OT1,604115,1,NA,NA,NA
Classical Ehlers-Danlos Syndrome,PS130000 (USED SUBSET OF THIS SERIES),Ehlers-Danlos syndrome,"Ehlers-Danlos syndrome, classic type, 1, 130000 (3)",130000,COL5A1,120215,1,NA,NA,NA
Congenital adrenal hypoplasia,NA,NA,"Adrenal hypoplasia, congenital, 300200 (3)",300200,NR0B1,300473,1,NA,NA,NA
Congenital Anomaly of the Kidneys and Urinary Tract (CAKUT),NA,(SEPARATE FROM PS),"Congenital anomalies of kidney and urinary tract syndrome with or without hearing loss, abnormal ears, or developmental delay, 617641 (3)",617641,PBX1,176310,1,NA,NA,NA
Congenital myopathy,NA,NA,"Congenital myopathy with excess of muscle spindles, 218040 (3)",218040,HRAS,190020,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Myopathy_Panel_Test_GD_Sept_12.pdf,NA,NA
Congenital myopathy,NA,NA,"Costello syndrome, 218040 (3)",218040,HRAS,190020,1,Full list of OMIM IDs here https://ukgtn.nhs.uk/uploads/tx_ukgtn/Congenital_Myopathy_Panel_Test_GD_Sept_12.pdf,NA,NA
Ear malformations with hearing impairment,NA,NA,NA,NA,NA,NA,1,612290 only,NA,NA
Early onset or familial intestinal pseudo obstruction,NA,NA,"Visceral myopathy, 155310 (3)",155310,ACTG2,102545,1,NA,NA,NA
Epidermolysis bullosa,NA,NA,"Epidermolysis bullosa, generalized atrophic benign, 226650 (3)",226650,LAMA3,600805,1,NA,NA,NA
Epidermolysis bullosa,NA,NA,"Epidermolysis bullosa, junctional, localisata variant, 226650 (3)",226650,COL17A1,113811,1,NA,NA,NA
Epidermolysis bullosa,NA,NA,"Epidermolysis bullosa, junctional, non-Herlitz type, 226650 (3)",226650,COL17A1,113811,1,NA,NA,NA
Epidermolysis bullosa,NA,NA,"Epidermolysis bullosa, junctional, non-Herlitz type, 226650 (3)",226650,ITGB4,147557,1,NA,NA,NA
Epidermolysis bullosa,NA,NA,"Epidermolysis bullosa, junctional, non-Herlitz type, 226650 (3)",226650,LAMB3,150310,1,NA,NA,NA
Epidermolysis bullosa,NA,NA,"Epidermolysis bullosa, junctional, non-Herlitz type, 226650 (3)",226650,LAMC2,150292,1,NA,NA,NA
Meige disease,NA,NA,"Lymphatic malformation 1, 153100 (3)",153100,FLT4,136352,1,PS153100,6,Use #153200 Lymphatic malformation 5
Primary lymphoedema,NA,NA,"Lymphatic malformation 1, 153100 (3)",153100,FLT4,136352,1,PS153100,6,PS153100 (includes both Meige & Milroy's)
Primary lymphoedema,NA,NA,"Lymphatic malformation 3, 613480 (3)",613480,GJC2,608803,1,PS153100,6,PS153100 (includes both Meige & Milroy's)
Primary lymphoedema,NA,NA,"Emberger syndrome, 614038 (3)",614038,GATA2,137295,1,PS153100,6,PS153100 (includes both Meige & Milroy's)
Primary lymphoedema,NA,NA,"Lymphatic malformation 4, 615907 (3)",615907,VEGFC,601528,1,PS153100,6,PS153100 (includes both Meige & Milroy's)
Primary lymphoedema,NA,NA,"Lymphatic malformation 6, 616843 (3)",616843,PIEZO1,611184,1,PS153100,6,PS153100 (includes both Meige & Milroy's)
Familial colon cancer,"Colorectal cancer, hereditary nonpolyposis",PS120435 + PS175100,NA,NA,NA,NA,1,use these series,3,Familial colon cancer would need to include both polyposis and non polyposis entities (PS175100 and 120435)
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,"Gray platelet syndrome, 139090 (3)",139090,NBEAL2,614169,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,"Macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss, 155100 (3)",155100,MYH9,160775,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,"von Willebrand disease, platelet-type, 177820 (3)",177820,GP1BA,606672,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,"Bleeding disorder, platelet-type, 16, autosomal dominant, 187800 (3)",187800,ITGA2B,607759,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,"Bleeding disorder, platelet-type, 16, autosomal dominant, 187800 (3)",187800,ITGB3,173470,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,"Bleeding disorder, platelet-type, 17, 187900 (3)",187900,GFI1B,604383,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,"Bernard-Soulier syndrome, type A1 (recessive), 231200 (3)",231200,GP1BA,606672,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,"Bernard-Soulier syndrome, type B, 231200 (3)",231200,GP1BB,138720,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,"Bernard-Soulier syndrome, type C, 231200 (3)",231200,GP9,173515,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,"Giant platelet disorder, isolated, 231200 (3)",231200,GP1BB,138720,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,"Scott syndrome, 262890 (3)",262890,ANO6,608663,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,"Glanzmann thrombasthenia, 273800 (3)",273800,ITGA2B,607759,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,"Glanzmann thrombasthenia, 273800 (3)",273800,ITGB3,173470,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,"Quebec platelet disorder, 601709 (3)",601709,PLAU,191840,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,"Platelet glycoprotein IV deficiency, 608404 (3)",608404,CD36,173510,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,"Bleeding disorder, platelet-type, 8, 609821 (3)",609821,P2RY12,600515,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,"{Bleeding disorder, platelet-type, 13, susceptibility to}, 614009 (3)",614009,TBXA2R,188070,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,"Bleeding disorder, platelet-type, 11, 614201 (3)",614201,GP6,605546,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,"Bleeding disorder, platelet-type, 15, 615193 (3)",615193,ACTN1,102575,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,"?Bleeding disorder, platelet-type, 18, 615888 (3)",615888,RASGRP2,605577,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,"?Bleeding disorder, platelet-type, 19, 616176 (3)",616176,PRKACG,176893,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,"Bleeding disorder, platelet-type, 20, 616913 (3)",616913,SLFN14,614958,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,"Bleeding disorder, platelet-type, 21, 617443 (3)",617443,FLI1,193067,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Inherited bleeding and or platelet disorders,"Bleeding disorder, platelet-type",PS231200,NA,618462,NA,NA,1,NA,3,GEL term includes all coagulation disorders versus OMIM just platelet disorders.
Cone Dysfunction Syndrome,NA,NA,"Achromatopsia 3, 262300 (3)",262300,CNGB3,605080,1,NA,1,NA
Cone Dysfunction Syndrome,NA,NA,"Achromatopsia 6, 610024 (3)",610024,PDE6H,601190,1,NA,1,NA
Cone Dysfunction Syndrome,NA,NA,"Retinal cone dystrophy 3, 610024 (3)",610024,PDE6H,601190,1,NA,1,NA
Cone Dysfunction Syndrome,NA,NA,"Achromatopsia 4, 613856 (3)",613856,GNAT2,139340,1,NA,1,NA
Cone Dysfunction Syndrome,NA,NA,"Achromatopsia 2, 216900 (3)",216900,CNGA3,600053,1,NA,1,NA
Cone Dysfunction Syndrome,NA,NA,"Cone dystrophy 4, 613093 (3)",613093,PDE6C,600827,1,NA,1,NA
Cone Dysfunction Syndrome,NA,NA,"Achromatopsia 7, 616517 (3)",616517,ATF6,605537,1,NA,1,NA
Cone Dysfunction Syndrome,NA,NA,"Blue cone monochromacy, 303700 (3)",303700,OPN1LW,300822,1,NA,1,NA
Cone Dysfunction Syndrome,NA,NA,"Blue cone monochromacy, 303700 (3)",303700,OPN1MW,300821,1,NA,1,NA
Cone Dysfunction Syndrome,NA,NA,"Cone-rod dystrophy, X-linked, 1, 304020 (3)",304020,RPGR,312610,1,NA,1,NA
Cone Dysfunction Syndrome,NA,NA,"Bradyopsia, 608415 (3)",608415,RGS9,604067,1,NA,1,NA
Cone Dysfunction Syndrome,NA,NA,"Bradyopsia, 608415 (3)",608415,RGS9BP,607814,1,NA,1,NA
Epileptic encephalopathy,"Epileptic encephalopathy, early infantile",PS308350,NA,NA,NA,NA,1,NA,1,NA
Familial breast and or ovarian cancer,"Breast-ovarian cancer, familial, susceptibility to",PS604370,NA,NA,NA,NA,1,NA,1,NA
Familial exudative vitreoretinopathy,Exudative vitreoretinopathy,PS133780,NA,NA,NA,NA,1,NA,1,NA
Familial Focal Epilepsies,"Epilepsy, familial focal, with variable foci",PS604364,NA,NA,NA,NA,1,NA,1,NA
Familial Genetic Generalised Epilepsies,"Epilepsy, idiopathic generalized",PS600669,NA,NA,NA,NA,1,NA,1,NA
Familial haematuria,NA,NA,"Hematuria, benign familial, 141200 (3)",141200,COL4A3,120070,1,NA,1,NA
Familial haematuria,NA,NA,"Hematuria, familial benign, 141200 (3)",141200,COL4A4,120131,1,NA,1,NA
Familial hidradenitis suppurativa,NA,NA,"Acne inversa, familial, 1, 142690 (3)",142690,NCSTN,605254,1,NA,1,NA
Familial Hypercholesterolaemia,"Hypercholesterolemia, familial",PS143890,NA,NA,NA,NA,1,NA,1,NA
Familial non-syndromic cleft lip and or familial cleft palate,Orofacial cleft,PS119530,NA,NA,NA,NA,1,NA,1,NA
Familial primary spontaneous pneumothorax,NA,NA,"Pneumothorax, primary spontaneous, 173600 (3)",173600,FLCN,607273,1,NA,1,NA
Familial pulmonary fibrosis,NA,NA,"Pulmonary fibrosis, idiopathic, 178500 (3)",178500,SFTPA2,178642,1,NA,1,NA
Familial pulmonary fibrosis,NA,NA,"{Pulmonary fibrosis, idiopathic, susceptibility to}, 178500 (3)",178500,MUC5B,600770,1,NA,1,NA
Familial Thoracic Aortic Aneurysm Disease,"Aortic aneurysm, familial thoracic",PS607086,"{Aortic aneurysm, familial thoracic 11, susceptibility to}, 617349 (3)",617349,FOXE3,601094,1,NA,1,NA
Familial Thoracic Aortic Aneurysm Disease,"Aortic aneurysm, familial thoracic",PS607086,"Loeys-Dietz syndrome 2, 610168 (3)",610168,TGFBR2,190182,1,NA,1,NA
Familial Thoracic Aortic Aneurysm Disease,"Aortic aneurysm, familial thoracic",PS607086,"Aortic aneurysm, familial thoracic 7, 613780 (3)",613780,MYLK,600922,1,NA,1,NA
Familial Thoracic Aortic Aneurysm Disease,"Aortic aneurysm, familial thoracic",PS607086,"Aortic aneurysm, familial thoracic 10, 617168 (3)",617168,LOX,153455,1,NA,1,NA
Familial Thoracic Aortic Aneurysm Disease,"Aortic aneurysm, familial thoracic",PS607086,"Loeys-Dietz syndrome 1, 609192 (3)",609192,TGFBR1,190181,1,NA,1,NA
